OBJECTID,SUB_BASIN,UUID
1,Ravi,20f30b79-b0dc-4c5c-8c46-ac5e088f03ec
2,Sabarmati Lower,0e0c0ab6-2464-4402-8665-a2c52c969e7b
3,Saraswati,6e0dcc69-173e-4baf-ae8a-9f0bbeb245cd
4,Sabarmati Upper,15d7af1b-ce7d-4e75-9c1f-a1da71c1a7b0
5,Shetranjuli and other east flowing rivers,7f1d13d8-d156-46c2-ab69-16a0366fc3e9
6,Shaksgam,29d79f2f-ca85-403f-a61c-04c1bf3b46f7
7,Shyok,1cc7983a-bb2c-4570-ac5e-2020fe268025
8,Sone,71a9e8cd-0b3a-46a1-bdde-76f8163e96b8
9,Subernarekha,b9bbb5b1-9bb4-4c51-884d-1e8dadde3682
10,Sutlaj Lower,8a79a1f9-7b9b-41ab-95f3-8a6a9b3cd297
11,Sulmar,21be6412-5e44-4515-9a02-a9ea9c267701
12,Sutlaj Upper,547cdfcc-b320-4ab1-95af-86eca3211864
13,Tapi Middle,61a1ecb4-0511-4b72-aceb-5e2c7312ad2d
14,Tapi Upper,74baa857-c043-46c4-aa82-edd4f1e7f1d9
15,Tons,58fed4e2-8bbe-414a-9dca-ef5850e33627
16,Tungabhadra Lower,f02cdfdb-2a7e-401d-9d02-a2a28f736fc8
17,Tungabhadra Upper,49664579-1f3a-4966-b506-bdf65c4c8055
18,Upstream of Gomti confluece to Muzaffarnagar,ce93c3e3-d14f-46cc-8541-7f3b37e8fb64
19,Upper Indus,c9a01b93-dfd9-4374-b603-a36cda7bd612
20,Vaippar and others,5767c8a8-9dac-443a-9bb5-1f6f0ead1b0a
21,East flowing rivers between Vamsadhara and Mahanadi,cf84e615-179b-4cfd-acb9-27aca174e2a2
22,Varrar and others,4a6b386e-8fa4-464f-a8ed-1b70db684072
23,Wardha,a9d85944-2667-410e-a38e-6b7d6dc62b32
24,Weinganga,1a25f963-81ae-4983-ab94-809176c11484
25,Yamuna Lower,a921ce71-2d6f-455f-9571-733248c01071
26,Yamuna Middle,311452f3-4736-49c0-ae50-dc0325812773
27,Yamuna Upper,ba4089dd-4a5c-419f-8196-c3d3f5c569cc
28,Bhatsol and others,5a6c6db0-056b-40ee-ba83-3476ec4df519
29,Vasishti and others,62564067-a8a3-439a-aeb4-aca924df2ca7
30,East flowing rivers between Godavari and krishna,c1f9c22b-b421-4b12-8b66-7264a6ac59ce
31,Mahi Lower,4a412fea-7396-43f1-b3cb-f836b4f9a796
32,Narmada Lower,d5a83ff6-0cd7-4af4-80eb-81eb5ea94338
